variable,season,event,n,MBE,RMSE,pearson_r
GHI,ALL,ALL,493155,4.2458,92.3622,0.9608
GHI,Winter,ALL,121905,16.33,88.0235,0.9561
GHI,Summer,ALL,124200,22.3758,96.4347,0.9731
GHI,Monsoon,ALL,124200,-16.7207,104.5838,0.9437
GHI,Retreat,ALL,122850,-4.8779,78.081,0.9685
GHI,ALL,sunrise,164385,-50.5693,63.5463,0.7856
GHI,ALL,noon,164385,19.5548,136.3933,0.7586
GHI,ALL,sunset,164385,43.7518,54.3238,0.5624
GHI,Winter,sunrise,40635,-63.1793,78.4198,0.8369
GHI,Winter,noon,40635,59.6885,114.0144,0.7887
GHI,Winter,sunset,40635,52.4809,63.9957,0.6425
GHI,Summer,sunrise,41400,-52.4207,62.717,0.7696
GHI,Summer,noon,41400,65.4567,141.7206,0.7034
GHI,Summer,sunset,41400,54.0915,62.2961,0.5079
GHI,Monsoon,sunrise,41400,-33.0724,40.3056,0.8255
GHI,Monsoon,noon,41400,-39.8329,174.1014,0.7095
GHI,Monsoon,sunset,41400,22.7434,29.6221,0.5889
GHI,Retreat,sunrise,40950,-53.8735,66.9988,0.7478
GHI,Retreat,noon,40950,-6.6361,104.0632,0.7221
GHI,Retreat,sunset,40950,45.8758,54.5155,0.5773
T_amb,ALL,ALL,492936,-0.0895,3.6951,0.902
T_amb,Winter,ALL,121689,-0.3387,3.9782,0.804
T_amb,Summer,ALL,124197,-0.7012,4.326,0.879
T_amb,Monsoon,ALL,124200,-0.2293,3.2688,0.8465
T_amb,Retreat,ALL,122850,0.9171,3.0639,0.8961
T_amb,ALL,sunrise,164166,-0.4257,2.7197,0.9342
T_amb,ALL,noon,164385,-2.683,4.102,0.9121
T_amb,ALL,sunset,164385,2.8399,4.0902,0.9266
T_amb,Winter,sunrise,40419,-1.3773,3.0526,0.7984
T_amb,Winter,noon,40635,-3.2403,4.226,0.8729
T_amb,Winter,sunset,40635,3.5961,4.5018,0.8355
T_amb,Summer,sunrise,41397,-1.0853,2.9261,0.9093
T_amb,Summer,noon,41400,-4.089,5.1379,0.9222
T_amb,Summer,sunset,41400,3.0708,4.6024,0.8863
T_amb,Monsoon,sunrise,41400,0.4935,2.4711,0.8479
T_amb,Monsoon,noon,41400,-2.5872,4.141,0.8324
T_amb,Monsoon,sunset,41400,1.4059,2.9665,0.8637
T_amb,Retreat,sunrise,40950,0.2511,2.372,0.9203
T_amb,Retreat,noon,40950,-0.8054,2.4081,0.8927
T_amb,Retreat,sunset,40950,3.3058,4.091,0.9033
RHum,ALL,ALL,493155,11.3833,20.3621,0.7399
RHum,Winter,ALL,121905,19.7757,26.5403,0.5709
RHum,Summer,ALL,124200,14.4085,21.0121,0.7132
RHum,Monsoon,ALL,124200,5.5417,15.1536,0.787
RHum,Retreat,ALL,122850,5.9027,16.9383,0.6637
RHum,ALL,sunrise,164385,15.0115,23.0305,0.6045
RHum,ALL,noon,164385,17.3452,21.7791,0.7969
RHum,ALL,sunset,164385,1.7931,15.4634,0.7397
RHum,Winter,sunrise,40635,26.1422,31.6093,0.4064
RHum,Winter,noon,40635,24.4734,27.6683,0.6057
RHum,Winter,sunset,40635,8.7114,18.6676,0.4195
RHum,Summer,sunrise,41400,19.2187,24.33,0.5343
RHum,Summer,noon,41400,19.9752,22.281,0.7502
RHum,Summer,sunset,41400,4.0315,15.3666,0.6786
RHum,Monsoon,sunrise,41400,3.0493,11.4278,0.7625
RHum,Monsoon,noon,41400,15.4467,20.0761,0.7703
RHum,Monsoon,sunset,41400,-1.8708,12.46,0.7991
RHum,Retreat,sunrise,40950,11.8067,20.1806,0.5106
RHum,Retreat,noon,40950,9.5322,15.3318,0.7388
RHum,Retreat,sunset,40950,-3.6308,14.7783,0.5426
W_spd,ALL,ALL,493155,-1.1407,1.7034,0.5396
W_spd,Winter,ALL,121905,-1.0809,1.6168,0.4611
W_spd,Summer,ALL,124200,-1.3568,1.9809,0.5222
W_spd,Monsoon,ALL,124200,-1.2225,1.8077,0.5794
W_spd,Retreat,ALL,122850,-0.899,1.3352,0.455
W_spd,ALL,sunrise,164385,-0.4974,0.928,0.4828
W_spd,ALL,noon,164385,-2.2559,2.604,0.4409
W_spd,ALL,sunset,164385,-0.6689,1.0308,0.5081
W_spd,Winter,sunrise,40635,-0.5745,0.9876,0.4078
W_spd,Winter,noon,40635,-2.193,2.479,0.4111
W_spd,Winter,sunset,40635,-0.4753,0.8492,0.5913
W_spd,Summer,sunrise,41400,-0.5232,0.9897,0.4139
W_spd,Summer,noon,41400,-2.6739,3.0405,0.3802
W_spd,Summer,sunset,41400,-0.8732,1.244,0.509
W_spd,Monsoon,sunrise,41400,-0.4419,0.9076,0.4835
W_spd,Monsoon,noon,41400,-2.4088,2.7658,0.3698
W_spd,Monsoon,sunset,41400,-0.8169,1.153,0.419
W_spd,Retreat,sunrise,40950,-0.4509,0.816,0.4398
W_spd,Retreat,noon,40950,-1.7414,2.0104,0.2774
W_spd,Retreat,sunset,40950,-0.5047,0.8008,0.436
