point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0083,2016-01-01,24,4026.11,4034.67,0.9978783890627982,10.62,26.57,17.334999999999997,32.21208333333333,2.464166666666667
RJP_0083,2016-01-02,24,3453.54,3565.08,0.9687131845568684,11.23,25.48,17.585416666666667,28.601666666666663,1.3554166666666667
RJP_0083,2016-01-03,24,3721.92,3777.89,0.9851848518617534,11.27,28.06,19.48,21.7775,0.91625
RJP_0083,2016-01-04,24,3802.75,3941.44,0.9648123528456604,12.89,27.83,18.64708333333333,25.8025,2.160833333333333
RJP_0083,2016-01-05,24,4043.9,4083.05,0.9904115795789912,12.96,28.89,20.10333333333333,28.633333333333336,2.052083333333333
RJP_0083,2016-01-06,24,3966.89,4166.46,0.9521008242008804,12.41,28.23,19.04083333333333,35.345,2.5483333333333333
RJP_0083,2016-01-07,24,3712.68,4080.67,0.9098211813256158,11.72,28.28,20.036666666666665,35.435,2.3916666666666666
RJP_0083,2016-01-08,24,4078.83,4087.04,0.9979912112433448,10.17,27.41,18.05666666666667,39.47416666666667,3.1004166666666664
RJP_0083,2016-01-09,24,4210.27,4224.48,0.9966362723932888,9.21,25.89,17.07375,32.44625,2.617083333333333
RJP_0083,2016-01-10,24,4367.58,4412.51,0.9898175868156672,11.52,27.28,18.59125,25.254166666666663,1.53
RJP_0083,2016-01-11,24,4295.1,4337.4,0.9902476137778394,10.39,27.4,18.26458333333333,23.71333333333334,1.9825
RJP_0083,2016-01-12,24,4069.06,4090.11,0.9948534391495584,10.65,26.96,17.570416666666667,35.704166666666666,3.16625
RJP_0083,2016-01-13,24,4276.31,4310.19,0.9921395576529108,8.7,26.15,16.395,38.26041666666666,3.453333333333333
RJP_0083,2016-01-14,24,3591.61,3914.11,0.9176057903329238,8.24,24.76,15.364583333333334,37.384166666666665,2.745
RJP_0083,2016-01-15,24,3407.86,3516.7,0.9690505303267268,7.06,24.87,14.780833333333334,40.81583333333334,2.339583333333333
RJP_0083,2016-01-16,24,3893.55,4085.65,0.9529817776853132,6.38,24.33,14.445833333333336,30.439166666666665,2.2779166666666666
RJP_0083,2016-01-17,24,3855.980000000001,3940.26,0.978610548542482,5.58,23.63,13.991666666666664,28.68875,3.1625
RJP_0083,2016-01-18,24,2597.7,3164.99,0.820760887080212,6.92,24.07,15.634166666666667,29.04875,2.6875
